iter	Passed	Remaining
720	1961	759
721	1963	755
722	1964	752
723	1965	749
724	1967	746
725	1968	742
726	1969	739
727	1971	736
728	1975	734
729	1977	731
730	1979	728
731	1981	725
732	1983	722
733	1984	719
734	1986	716
735	1990	713
736	1991	710
737	1993	707
738	1994	704
739	1995	701
740	1996	697
741	1998	694
742	1999	691
743	2000	688
744	2003	685
745	2006	683
746	2009	680
747	2011	677
748	2012	674
749	2014	671
750	2015	668
751	2018	665
752	2020	662
753	2022	659
754	2023	656
755	2024	653
756	2026	650
757	2027	647
758	2028	644
759	2030	641
760	2032	638
761	2034	635
762	2035	632
763	2037	629
764	2039	626
765	2040	623
766	2041	620
767	2043	617
768	2044	614
769	2048	611
770	2051	609
771	2053	606
772	2054	603
773	2055	600
774	2057	597
775	2058	594
776	2059	591
777	2061	588
778	2063	585
779	2065	582
780	2067	579
781	2068	576
782	2070	573
783	2071	570
784	2073	567
785	2074	564
786	2076	561
787	2078	559
788	2080	556
789	2081	553
790	2082	550
791	2084	547
792	2085	544
793	2086	541
794	2088	538
795	2089	535
796	2094	533
797	2096	530
798	2098	527
799	2099	524
800	2101	522
801	2102	519
802	2104	516
803	2109	514
804	2112	511
805	2113	508
806	2115	505
807	2116	502
808	2117	500
809	2119	497
810	2123	494
811	2125	492
812	2127	489
813	2129	486
814	2131	483
815	2132	480
816	2134	478
817	2137	475
818	2141	473
819	2143	470
820	2144	467
821	2145	464
822	2147	461
823	2148	458
824	2153	456
825	2155	454
826	2157	451
827	2159	448
828	2162	446
829	2164	443
830	2166	440
831	2168	437
832	2170	435
833	2172	432
834	2173	429
835	2175	426
836	2176	423
837	2178	421
838	2179	418
839	2184	416
840	2186	413
841	2188	410
842	2189	407
843	2191	405
844	2193	402
845	2195	399
846	2197	397
847	2200	394
848	2202	391
849	2203	388
850	2205	386
851	2206	383
852	2208	380
853	2211	378
854	2215	375
855	2216	372
856	2218	370
857	2220	367
858	2221	364
859	2223	361
860	2225	359
861	2229	356
862	2231	354
863	2233	351
864	2234	348
865	2236	346
866	2237	343
867	2241	340
868	2243	338
869	2245	335
870	2247	332
871	2248	330
872	2250	327
873	2251	324
874	2252	321
875	2255	319
876	2257	316
877	2258	313
878	2260	311
879	2261	308
880	2263	305
881	2264	302
882	2265	300
883	2267	297
884	2268	294
885	2272	292
886	2274	289
887	2275	287
888	2277	284
889	2279	281
890	2280	279
891	2282	276
892	2285	273
893	2287	271
894	2289	268
895	2290	265
896	2291	263
897	2293	260
898	2294	257
899	2295	255
900	2297	252
901	2303	250
902	2305	247
903	2306	244
904	2307	242
905	2309	239
906	2311	236
907	2312	234
908	2316	231
909	2318	229
910	2320	226
911	2321	224
912	2323	221
913	2324	218
914	2325	216
915	2327	213
916	2330	210
917	2332	208
918	2334	205
919	2336	203
920	2337	200
921	2339	197
922	2341	195
923	2342	192
924	2344	190
925	2346	187
926	2347	184
927	2349	182
928	2350	179
929	2351	177
930	2353	174
931	2354	171
932	2355	169
933	2357	166
934	2361	164
935	2363	161
936	2365	159
937	2366	156
938	2368	153
939	2370	151
940	2371	148
941	2373	146
942	2376	143
943	2378	141
944	2379	138
945	2380	135
946	2382	133
947	2383	130
948	2384	128
949	2385	125
950	2388	123
951	2391	120
952	2393	118
953	2395	115
954	2396	112
955	2398	110
956	2399	107
957	2401	105
958	2405	102
959	2408	100
960	2410	97
961	2412	95
962	2413	92
963	2414	90
964	2416	87
965	2420	85
966	2421	82
967	2423	80
968	2425	77
969	2427	75
970	2428	72
971	2430	70
972	2432	67
973	2434	64
974	2436	62
975	2437	59
976	2439	57
977	2440	54
978	2441	52
979	2443	49
980	2444	47
981	2445	44
982	2451	42
983	2453	39
984	2455	37
985	2456	34
986	2458	32
987	2459	29
988	2461	27
989	2465	24
990	2468	22
991	2470	19
992	2471	17
993	2473	14
994	2474	12
995	2476	9
996	2481	7
997	2482	4
998	2484	2
999	2485	0
